"","from_city","to_city"
"668","Ljubljana","Graz"
"669","Basel","Frankfurt"
"670","Vienna","Prague"
"671","Linz","Prague"
"672","Cologne","Dresden"
"673","Kortrijk","Lille"
"674","Kortrijk","Antwerp"
"675","Florence","Naples"
"676","Malaga","Granada"
"677","Barcelona","Granada"
"678","Zaragoza","Granada"
"679","Milan","Zurich"
"680","Pescara","Venice"
"681","Milan","Paris"
"682","Turin","Paris"
"683","Chambery-Savoie","Lyon"
"684","Lyon","Strasbourg"
"685","Geneva","Bern"
"686","Munich","Frankfurt"
"687","Madrid","Oviedo"
"688","Memmingen","Duesseldorf"
"689","Memmingen","Augsburg"
"690","Augsburg","Duesseldorf"
"691","Madrid","Almeria"
"692","Lyon","Marseille"
"693","Pescara","Milan"
"694","Linz","Nuremberg"
"695","Linz","Venice"
"696","Gothenburg","Stockholm"
"697","Bologna","Munich"
"698","Munich","Paderborn"
"699","Luxembourg","Paris"
"700","Vienna","Salzburg"
"701","Salzburg","Stuttgart"
"702","Paris","Toulouse"
"703","Nuremberg","Vienna"
"704","Vienna","Warsaw"
"705","Wroclaw","Katowice"
"706","Friedrichshafen","Stuttgart"
"707","Murcia","Valencia"
"708","Murcia","Madrid"
"709","Frankfurt","Dresden"
"710","Birmingham","Liverpool"
"711","Strasbourg","Luxembourg"
"712","Oslo","Stavanger"
"713","Madrid","Barcelona"
"714","Plovdiv","Istanbul"
"715","Graz","Zurich"
"716","Paris","Stuttgart"
"717","Stuttgart","Augsburg"
"718","Porto","Lisbon"
"719","Strasbourg","Montpellier"
"720","Swansea","Cardiff"
"721","Swansea","London"
"722","Swansea","Bristol"
"723","Budapest","Linz"
"724","Inverness","London"
"725","Bucharest","Cluj-Napoca"
"726","Brussels","Dortmund"
"727","Dortmund","Hamburg"
"728","Venice","Naples"
"729","Vienna","Florence"
"730","Ostrava","Vienna"
"731","Ostrava","Brno"
"732","Ostrava","Prague"
"733","Ostrava","Budapest"
"734","Venice","Ancona"
"735","Valencia","Barcelona"
"736","Valencia","Madrid"
"737","Southampton","London"
"738","Zurich","Munich"
"739","Paris","Munich"
"740","Zurich","Prague"
"741","Warsaw","Ostrava"
"742","Brno","Ostrava"
"743","Berlin","Cologne"
"744","Duesseldorf","Cologne"
"745","Debrecen","Budapest"
"746","Dortmund","Cologne"
"747","Dortmund","Frankfurt"
"748","Dortmund","Paris"
"749","Paris","Nice"
"750","Strasbourg","Nice"
"751","Graz","Budapest"
"752","Duesseldorf","Mannheim"
"753","Paris","Lyon"
"754","Lille","Lyon"
"755","Sevilla","Granada"
"756","Florence","Rimini"
"757","Amsterdam","Zurich"
"758","Zurich","Venice"
"759","London","Leeds"
"760","Paris","Lille"
"761","Rome","Turin"
"762","Oslo","Stockholm"
"763","Brussels","Frankfurt"
"764","Tartu","Tallinn"
"765","Frankfurt","Lyon"
"766","Bern","Geneva"
"767","Warsaw","Vienna"
"768","Duesseldorf","Bremen"
"769","Frankfurt","Bremen"
"770","Marseille","Toulouse"
"771","Krakow","Katowice"
"772","Krakow","Wroclaw"
"773","Krakow","Vienna"
"774","Berlin","Zurich"
"775","Clermont-Ferrand","Paris"
"776","Strasbourg","Lille"
"777","Verona","Rome"
"778","Barcelona","Montpellier"
"779","Montpellier","Lille"
"780","Geneva","Zurich"
"781","Zaragoza","Valencia"
"782","Salzburg","Zurich"
"783","Manchester","Bournemouth"
"784","Birmingham","Bournemouth"
"785","Copenhagen","Vaxjo"
