from_city,to_city,url,price
Brussels,Ostend,https://www.thetrainline.com/en/train-times/brussels-to-ostend,from €19.40
Lille,Kortrijk,https://www.thetrainline.com/en/train-times/lille-to-kortrijk,from €5.30
Kortrijk,Ostend,https://www.thetrainline.com/en/train-times/kortrijk-to-ostend,from €13.20
Antwerp,Ostend,https://www.thetrainline.com/en/train-times/antwerp-to-ostend,from €20.80
Podgorica,Belgrade,https://www.thetrainline.com/en/train-times/podgorica-to-belgrade,NA
Rotterdam,London,https://www.thetrainline.com/en/train-times/rotterdam-to-london,from €55
Milan,Basel,https://www.thetrainline.com/en/train-times/milan-to-basel,from €34
Rome,Salzburg,https://www.thetrainline.com/en/train-times/rome-to-salzburg,NA
Salzburg,Malmo,https://www.thetrainline.com/en/train-times/salzburg-to-malmo,NA
Cherbourg,Paris,https://www.thetrainline.com/en/train-times/cherbourg-to-paris,from €20
Paris,Luxembourg,https://www.thetrainline.com/en/train-times/paris-to-luxembourg,from €31
Bristol,Exeter,https://www.thetrainline.com/en/train-times/bristol-to-exeter,NA
London,Exeter,https://www.thetrainline.com/en/train-times/london-to-exeter,from €17.02
Berlin,Dortmund,https://www.thetrainline.com/en/train-times/berlin-to-dortmund,from €9.99
Dortmund,Brussels,https://www.thetrainline.com/en/train-times/dortmund-to-brussels,from €16
Sofia,Istanbul,https://www.thetrainline.com/en/train-times/sofia-to-istanbul,NA
Bologna,Verona,https://www.thetrainline.com/en/train-times/bologna-to-verona,NA
Toulouse,Bordeaux,https://www.thetrainline.com/en/train-times/toulouse-to-bordeaux,from €10
Toulouse,Paris,https://www.thetrainline.com/en/train-times/toulouse-to-paris,from €15
Paris,Duesseldorf,https://www.thetrainline.com/en/train-times/paris-to-duesseldorf,NA
Duesseldorf,Hamburg,https://www.thetrainline.com/en/train-times/duesseldorf-to-hamburg,NA
Gothenburg,Oslo,https://www.thetrainline.com/en/train-times/gothenburg-to-oslo,NA
Toulouse,Lyon,https://www.thetrainline.com/en/train-times/toulouse-to-lyon,from €24
Zweibruecken,Saarbruecken,https://www.thetrainline.com/en/train-times/zweibruecken-to-saarbruecken,NA
Mannheim,Basel,https://www.thetrainline.com/en/train-times/mannheim-to-basel,from €9.99
Copenhagen,Malmo,https://www.thetrainline.com/en/train-times/copenhagen-to-malmo,NA
Amsterdam,Rotterdam,https://www.thetrainline.com/en/train-times/amsterdam-to-rotterdam,from €17.80
Eindhoven,Rotterdam,https://www.thetrainline.com/en/train-times/eindhoven-to-rotterdam,from €21.20
Chambery-Savoie,Rotterdam,https://www.thetrainline.com/en/train-times/chambery-savoie-to-rotterdam,NA
Bremen,Hannover,https://www.thetrainline.com/en/train-times/bremen-to-hannover,from €12.90
Budapest,Salzburg,https://www.thetrainline.com/en/train-times/budapest-to-salzburg,NA
Budapest,Ljubljana,https://www.thetrainline.com/en/train-times/budapest-to-ljubljana,from €27.70
Strasbourg,Paris,https://www.thetrainline.com/en/train-times/strasbourg-to-paris,from €16
Zagreb,Stuttgart,https://www.thetrainline.com/en/train-times/zagreb-to-stuttgart,from €29.20
Stuttgart,Paris,https://www.thetrainline.com/en/train-times/stuttgart-to-paris,from €16.90
Tampere,Helsinki,https://www.thetrainline.com/en/train-times/tampere-to-helsinki,NA
London,Norwich,https://www.thetrainline.com/en/train-times/london-to-norwich,from €12.24
Basel,Strasbourg,https://www.thetrainline.com/en/train-times/basel-to-strasbourg,from €10
Frankfurt,Mannheim,https://www.thetrainline.com/en/train-times/frankfurt-to-mannheim,NA
